Customer_ID,Full_Name,Age,Email,Phone,Total_Spent,Join_Date
CUST-0000,An Vũ,58,johntran@hoang.com,0901338908,120.22,2024-07-26
CUST-0001,Lâm Mai Hoàng,65,lejane@yahoo.com,0942351161,282.28,2024-11-27
CUST-0002,,32,,0949593103,148.14,2025-10-15
CUST-0003,Vũ Phạm,24,dvu@le.com,0941928327,679.93,2024-12-13
CUST-0004,Tùng Phạm,52,phamjohn@yahoo.com,0964139537,96.07,2024-12-26
CUST-0005,Anh Anh Lê,45,jane96@pham.info,0910122691,41.46,2024-12-17
CUST-0006,,23,tranjane@hotmail.com,0951462704,226.45,2025-03-17
CUST-0007,Cô Hải Vũ,50,janele@hoang.info,0901543039,606.0,2024-04-24
CUST-0008,Nhật Dương,53,johnduong@vu.org,0963834657,206.85,2026-01-21
CUST-0009,Ông Quang Phạm,59,john98@hoang.com,0903105183,704.31,2024-09-26
CUST-0010,Anh Tùng Lê,44,janebui@gmail.com,0911656670,228.24,2025-07-30
CUST-0011,An Bùi,55,phamjohngmail.com,0987262473ABC,285.41,2026-01-02
CUST-0012,Nhật Mai,18,maijohn@pham.biz,0977360260,761.22,2024-12-22
CUST-0013,Bảo Vũ,28,mle@yahoo.com,0930980500,701.16,2025-05-21
CUST-0014,Anh Hưng Mai,39,johnhoang@pham.com,0993990916,285.09,2025-07-17
CUST-0015,Anh Hoàng Đặng,31,,0907991183,957.64,2025-03-21
CUST-0016,Hoàng Đặng,39,janevu@duong.com,0998084124,111.19,2024-05-22
CUST-0017,Nhật Mai,42,jane93@pham.info,0940164005ABC,105.75,2025-10-13
CUST-0018,Bà Bảo Dương,40,tranjohn@hotmail.com,0928059826,607.69,2024-05-31
CUST-0019,Thảo Đặng,20,john31@mai.com,0932260256,732.43,2025-11-07
CUST-0020,Bà Lan Trần,52,,0975433036,133.58,2024-11-03
CUST-0021,Vũ Vũ,42,vmai@gmail.com,0914294019,88.01,2025-01-25
